                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8682,                 3.5601,                 4.2894,                0.02849,                0.42762,                0.08488,                 0.0211,                 3.0821,                 3.4158,                 4.1571,                0.00026,                0.00026,                0.00026
                      2,                 2.6176,                  3.107,                 4.0301,                0.02789,                0.42316,                0.04158,                0.01306,                  3.089,                 3.4326,                 4.1633,             0.00048654,             0.00048654,             0.00048654
                      3,                 2.4019,                 2.7907,                  3.787,                0.02414,                0.37082,                0.08168,                0.02034,                 3.1197,                 3.4585,                 4.1872,             0.00065764,             0.00065764,             0.00065764
                      4,                 2.2394,                 2.4337,                 3.4634,                0.02578,                0.38753,                 0.0823,                0.02081,                 3.1648,                 3.4715,                  4.226,              0.0007733,              0.0007733,              0.0007733
                      5,                 2.0529,                 2.1505,                 3.1626,                0.02332,                0.35189,                0.08086,                 0.0203,                 3.1705,                 3.4881,                 4.2709,             0.00083352,             0.00083352,             0.00083352
                      6,                 1.9078,                 1.9647,                 2.9418,                0.02728,                0.40535,                0.08716,                0.02158,                 3.1303,                 3.5047,                 4.2611,              0.0008383,              0.0008383,              0.0008383
                      7,                 1.7334,                 1.7296,                  2.727,                0.02709,                0.40757,                0.08549,                0.02072,                 3.0536,                 3.4889,                 4.2379,             0.00078764,             0.00078764,             0.00078764
                      8,                 1.6453,                  1.579,                 2.5741,                0.02669,                0.39644,                0.08397,                0.02139,                 2.6947,                 3.5151,                 3.9712,               0.000614,               0.000614,               0.000614
                      9,                 1.5508,                  1.521,                 2.4733,                0.02744,                0.42094,                0.08523,                0.02339,                 2.4396,                 3.5462,                 3.7804,               0.000614,               0.000614,               0.000614
                     10,                 1.4652,                 1.4385,                 2.3814,                0.02669,                0.40869,                0.08495,                0.02301,                 2.3108,                 3.5541,                  3.683,               0.000416,               0.000416,               0.000416
